date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:04:13	93116/93116	---M--	200	added ('OK')	image/png	etag:%2216bbc-626c2aec3d57e%22	http://bapatv.live/assets/images/Bein%20Sports%20Extra1731467457.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Bein%20Sports%20Extra1731467457.png	(from http://bapatv.live/)
09:04:13	1360/1360	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:04:14%20GMT	http://bapatv.live/play.php?stream=349	C:/My%20Web%20Sites/tv/bapatv.live/playdcde.html	(from http://bapatv.live/)
09:04:18	39923/39923	---M--	200	added ('OK')	image/png	etag:%229bf3-626c2bb2f6f11%22	http://bapatv.live/assets/images/Bein%20Sports%2011731467666.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Bein%20Sports%2011731467666.png	(from http://bapatv.live/)
09:04:18	1340/1340	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:04:20%20GMT	http://bapatv.live/play.php?stream=356	C:/My%20Web%20Sites/tv/bapatv.live/play341f.html	(from http://bapatv.live/)
09:04:22	57255/57255	---M--	200	added ('OK')	image/png	etag:%22dfa7-626c2caccd644%22	http://bapatv.live/assets/images/Euro%20Sports%2011731467928.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Euro%20Sports%2011731467928.png	(from http://bapatv.live/)
09:04:23	1346/1346	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:04:24%20GMT	http://bapatv.live/play.php?stream=359	C:/My%20Web%20Sites/tv/bapatv.live/playbfc1.html	(from http://bapatv.live/)
09:04:34	95663/95663	---M--	200	added ('OK')	image/png	etag:%22175af-626c2fbc7cb71%22	http://bapatv.live/assets/images/Red%20Bull1731468749.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Red%20Bull1731468749.png	(from http://bapatv.live/)
09:04:34	1344/1344	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:04:36%20GMT	http://bapatv.live/play.php?stream=363	C:/My%20Web%20Sites/tv/bapatv.live/playf4b1.html	(from http://bapatv.live/)
09:04:35	759752/759752	---M--	200	added ('OK')	image/jpeg	etag:%22b97c8-5eccfa0efaa80%22	http://bapatv.live/common.jpg?v=2	C:/My%20Web%20Sites/tv/bapatv.live/common5e1f.jpg	(from http://bapatv.live/)
09:04:36	1342/1342	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:04:37%20GMT	http://bapatv.live/play.php?stream=224	C:/My%20Web%20Sites/tv/bapatv.live/play0f39.html	(from http://bapatv.live/)
09:04:36	85588/85588	---M--	200	added ('OK')	image/png	etag:%2214e54-626c317f4de83%22	http://bapatv.live/assets/images/Sony%20Ten%2011731469222.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Sony%20Ten%2011731469222.png	(from http://bapatv.live/)
09:04:37	1360/1360	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:04:38%20GMT	http://bapatv.live/play.php?stream=205	C:/My%20Web%20Sites/tv/bapatv.live/play4199.html	(from http://bapatv.live/)
09:04:41	38567/38567	---M--	200	added ('OK')	image/png	etag:%2296a7-626c340f4c0cf%22	http://bapatv.live/assets/images/Ten%20Sports1731469910.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Ten%20Sports1731469910.png	(from http://bapatv.live/)
09:04:41	1342/1342	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:04:42%20GMT	http://bapatv.live/play.php?stream=207	C:/My%20Web%20Sites/tv/bapatv.live/play8126.html	(from http://bapatv.live/)
09:04:46	66787/66787	---M--	200	added ('OK')	image/png	etag:%22104e3-6263d7853e2d5%22	http://bapatv.live/assets/images/T%20sports21730895313.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/T%20sports21730895313.png	(from http://bapatv.live/)
09:04:47	1350/1350	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:04:48%20GMT	http://bapatv.live/play.php?stream=384	C:/My%20Web%20Sites/tv/bapatv.live/play1f18.html	(from http://bapatv.live/)
09:04:54	105364/105364	---M--	200	added ('OK')	image/png	etag:%2219b94-62614faef9689%22	http://bapatv.live/assets/images/SkySports%20Football1730721411.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/SkySports%20Football1730721411.png	(from http://bapatv.live/)
09:04:54	1346/1346	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:04:56%20GMT	http://bapatv.live/play.php?stream=217	C:/My%20Web%20Sites/tv/bapatv.live/playe5e6.html	(from http://bapatv.live/)
09:04:55	85588/85588	---M--	200	added ('OK')	image/png	etag:%2214e54-6261510c76ba5%22	http://bapatv.live/assets/images/Sony%20Ten%2011730721777.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Sony%20Ten%2011730721777.png	(from http://bapatv.live/)
09:04:55	1342/1342	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:04:57%20GMT	http://bapatv.live/play.php?stream=381	C:/My%20Web%20Sites/tv/bapatv.live/playa680.html	(from http://bapatv.live/)
09:04:58	66787/66787	---M--	200	added ('OK')	image/png	etag:%22104e3-626e11728b6f1%22	http://bapatv.live/assets/images/T%20sports41731598058.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/T%20sports41731598058.png	(from http://bapatv.live/)
09:04:58	1342/1342	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:05:00%20GMT	http://bapatv.live/play.php?stream=364	C:/My%20Web%20Sites/tv/bapatv.live/play0ecb.html	(from http://bapatv.live/)
09:05:01	35075/35075	---M--	200	added ('OK')	image/png	etag:%228903-626dcfa831baa%22	http://bapatv.live/assets/images/tsn51731580397.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/tsn51731580397.png	(from http://bapatv.live/)
09:05:01	1334/1334	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:05:03%20GMT	http://bapatv.live/play.php?stream=228	C:/My%20Web%20Sites/tv/bapatv.live/play22af.html	(from http://bapatv.live/)
09:05:02	49153/49153	---M--	200	added ('OK')	image/png	etag:%22c001-62616d41e0f02%22	http://bapatv.live/assets/images/Euro%20Sports1730729350.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Euro%20Sports1730729350.png	(from http://bapatv.live/)
09:05:02	1332/1332	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:05:04%20GMT	http://bapatv.live/play.php?stream=239	C:/My%20Web%20Sites/tv/bapatv.live/playfcc9.html	(from http://bapatv.live/)
09:05:09	66787/66787	---M--	200	added ('OK')	image/png	etag:%22104e3-626c345e0dfdd%22	http://bapatv.live/assets/images/T%20sports31731469993.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/T%20sports31731469993.png	(from http://bapatv.live/)
09:05:09	1352/1352	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:05:11%20GMT	http://bapatv.live/play.php?stream=376	C:/My%20Web%20Sites/tv/bapatv.live/play0b8b.html	(from http://bapatv.live/)
09:05:15	32442/32442	---M--	200	added ('OK')	image/png	etag:%227eba-626cee943fe3a%22	http://bapatv.live/assets/images/Abu%20Dhabi%20Sports%2021731519978.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Abu%20Dhabi%20Sports%2021731519978.png	(from http://bapatv.live/)
09:05:15	85237/85237	---M--	200	added ('OK')	image/png	etag:%2214cf5-6263d7cbb018d%22	http://bapatv.live/assets/images/GTV%2021730895387.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/GTV%2021730895387.png	(from http://bapatv.live/)
09:05:15	1342/1342	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:05:16%20GMT	http://bapatv.live/play.php?stream=292	C:/My%20Web%20Sites/tv/bapatv.live/play08d3.html	(from http://bapatv.live/)
09:05:15	1340/1340	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:05:17%20GMT	http://bapatv.live/play.php?stream=379	C:/My%20Web%20Sites/tv/bapatv.live/play1dd4.html	(from http://bapatv.live/)
09:05:16	85237/85237	---M--	200	added ('OK')	image/png	etag:%2214cf5-6265efb68ccc6%22	http://bapatv.live/assets/images/GTV%2011731039246.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/GTV%2011731039246.png	(from http://bapatv.live/)
09:05:16	1338/1338	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:05:18%20GMT	http://bapatv.live/play.php?stream=337	C:/My%20Web%20Sites/tv/bapatv.live/play57ec.html	(from http://bapatv.live/)
09:05:26	66787/66787	---M--	200	added ('OK')	image/png	etag:%22104e3-626b191fb2777%22	http://bapatv.live/assets/images/T%20sports11731393960.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/T%20sports11731393960.png	(from http://bapatv.live/)
09:05:26	1334/1334	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:05:28%20GMT	http://bapatv.live/play.php?stream=333	C:/My%20Web%20Sites/tv/bapatv.live/play55ff.html	(from http://bapatv.live/)
09:05:30	85433/85433	---M--	200	added ('OK')	image/png	etag:%2214db9-626c279ce547f%22	http://bapatv.live/assets/images/DW%20News1731466569.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/DW%20News1731466569.png	(from http://bapatv.live/)
09:05:31	1338/1338	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:05:32%20GMT	http://bapatv.live/play.php?stream=352	C:/My%20Web%20Sites/tv/bapatv.live/play5cf3.html	(from http://bapatv.live/)
09:05:32	103672/103672	---M--	200	added ('OK')	image/png	etag:%22194f8-626ceebad0da8%22	http://bapatv.live/assets/images/ATN%20News1731520019.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/ATN%20News1731520019.png	(from http://bapatv.live/)
09:05:32	1354/1354	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:05:34%20GMT	http://bapatv.live/play.php?stream=383	C:/My%20Web%20Sites/tv/bapatv.live/play315d.html	(from http://bapatv.live/)
09:05:36	59514/59514	---M--	200	added ('OK')	image/png	etag:%22e87a-626c2696a6199%22	http://bapatv.live/assets/images/DBC%2021731466294.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/DBC%2021731466294.png	(from http://bapatv.live/)
09:05:36	1340/1340	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:05:38%20GMT	http://bapatv.live/play.php?stream=327	C:/My%20Web%20Sites/tv/bapatv.live/play04b5.html	(from http://bapatv.live/)
09:05:40	58717/58717	---M--	200	added ('OK')	image/png	etag:%22e55d-626c2d7e80896%22	http://bapatv.live/assets/images/Jamuna%20TV1731468148.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Jamuna%20TV1731468148.png	(from http://bapatv.live/)
09:05:40	1332/1332	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:05:42%20GMT	http://bapatv.live/play.php?stream=301	C:/My%20Web%20Sites/tv/bapatv.live/play567e.html	(from http://bapatv.live/)
